編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2)
87,1709,和益,化學生技醫療,35.6,5.95,31.64,82.44,6.92,82.67,18.82,9134,45.31,33.6,27.04,19.51,3.9,99.14,7.74,61.85,33.99,9999.0
88,1721,三晃,化學生技醫療,23.7,-3.66,8.69,25.83,69.98,36.47,-6.63,-415,21.2,24.6,21.8,18.84,84.4,61.84,48.42,52.39,568.3,9999.0
89,2201,裕隆,汽車工業,30.5,0.16,8.84,2.12,0.39,-3.92,-5.72,-6397,34.1,30.45,28.02,29.87,97.78,69.36,25.58,54.49,386.99,9999.0
90,2027,大成鋼,鋼鐵工業,48.6,-1.52,9.86,26.35,-1.84,46.09,33.23,42154,57.4,49.35,44.24,38.46,0.0,86.05,25.62,57.13,138.37,441.62
91,2880,華南金,金融保險,44.35,-1.77,12.78,34.5,3.45,4.11,20.45,83011,49.05,45.15,39.32,32.97,50.46,83.5,8.46,61.65,9999.0,18.45
92,2834,臺企銀,金融保險,17.95,1.41,8.35,19.52,8.38,18.0,5.96,-36620,17.7,17.7,16.57,15.02,78.26,88.02,0.0,62.79,9999.0,9999.0
93,2889,國票金,金融保險,16.7,0.6,11.15,10.63,22.11,51.9,85.73,83963,18.08,16.6,15.03,15.1,74.24,83.08,3.78,60.47,9999.0,9999.0
94,1712,興農,化學生技醫療,40.85,0.0,3.32,-1.02,-8.45,21.54,5.1,946,42.4,40.85,39.54,41.27,66.67,56.71,16.07,51.84,9999.0,9999.0
95,1569,濱川,電腦及週邊設備業,49.35,0.92,9.84,-6.9,0.84,-25.28,-9.01,465,55.05,48.9,44.93,53.01,70.25,52.63,12.46,50.99,9999.0,9999.0
96,2886,兆豐金,金融保險,50.3,-0.59,7.62,23.1,6.77,1.77,13.34,306956,51.75,50.6,46.74,40.86,0.0,77.19,18.27,60.31,9999.0,26.43
97,2884,玉山金,金融保險,44.25,-2.85,19.81,35.84,12.3,19.29,20.63,26790,49.45,45.55,36.93,32.58,89.36,91.02,13.58,67.63,9999.0,9999.0
98,2855,統一證,金融保險,52.1,-0.19,9.45,53.87,-47.58,19.6,221.16,6607,54.0,52.2,47.6,33.86,91.67,78.87,13.89,59.54,9999.0,9999.0
99,2881,富邦金,金融保險,147.0,-1.34,12.39,45.85,-51.89,-66.28,22.76,44973,171.5,149.0,130.8,100.79,75.0,94.14,22.67,62.53,206.02,9999.0
100,2603,長榮,航運業,234.0,2.18,11.25,23.93,1.89,48.64,6.08,100308,299.0,229.0,210.33,188.81,0.0,84.68,30.82,57.18,9999.0,9999.0
101,2890,永豐金,金融保險,43.2,-0.58,10.16,40.68,0.98,49.48,50.49,66732,45.15,43.45,39.21,30.71,89.55,92.41,12.99,64.66,9999.0,9999.0
102,2617,台航,航運業,33.4,3.25,13.16,16.31,1.53,34.1,17.59,10183,36.15,32.35,29.52,28.72,21.43,89.65,3.48,60.46,9999.0,9999.0
103,2812,台中銀,金融保險,19.15,-1.29,1.92,0.83,7.94,1.76,16.0,46744,20.05,19.4,18.79,18.99,68.75,62.51,36.25,53.02,204.59,9999.0
104,2883,凱基金,金融保險,36.75,-1.47,18.57,71.67,-36.51,-167.35,210.77,172155,41.75,37.3,31.0,21.41,100.0,95.52,8.5,67.09,9999.0,9999.0
105,3374,精材,半導體業,478.5,0.74,41.58,124.61,12.68,30.96,31.73,17150,535.0,475.0,337.96,213.04,66.49,93.87,3.62,62.09,9999.0,9999.0
106,2615,萬海,航運業,116.0,3.57,27.04,45.67,3.01,65.59,14.58,96248,164.3,112.0,91.31,79.63,0.0,91.07,31.08,62.81,9999.0,9999.0
107,2801,彰銀,金融保險,26.85,-1.47,14.63,31.51,-3.79,21.13,13.82,35445,29.65,27.25,23.42,20.42,90.57,91.69,12.18,68.68,9999.0,9999.0
108,2897,王道銀行,金融保險,10.85,-0.91,6.52,16.26,-3.7,17.35,25.89,36623,11.65,10.95,10.19,9.33,84.62,94.18,12.4,62.46,785.32,9999.0
