編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
42,2030,彰源,鋼鐵工業,17.8,0.28,2.33,17.65,-17.23,33.89,8.52,3854,20.05,17.75,17.39,15.13
43,1802,台玻,玻璃陶瓷,65.0,-1.52,-5.27,44.25,7.34,27.0,8.67,71893,73.5,66.0,68.62,45.06
44,4971,IET-KY,半導體業,421.0,-3.77,-36.16,14.69,-7.89,-6.26,17.06,297,458.0,437.5,659.47,367.06
45,4973,廣穎,半導體業,166.5,5.71,21.2,160.21,3.19,197.3,91.34,-3652,227.0,157.5,137.38,63.99
46,2103,台橡,橡膠工業,23.05,-3.15,12.56,31.57,-3.63,40.24,10.31,17059,25.18,23.8,20.48,17.52
47,6104,創惟,半導體業,102.0,-0.49,1.94,0.05,-1.43,5.66,1.8,2062,111.0,102.5,100.06,101.95
48,1618,合機,電器電纜,38.8,-4.2,-4.31,-10.68,-47.41,-37.72,-24.53,318,41.45,40.5,40.55,43.44
49,4991,環宇-KY,半導體業,461.5,-4.25,-27.41,43.37,62.88,55.06,47.63,-2239,602.0,482.0,635.75,321.9
50,5228,鈺鎧,電子零組件業,55.4,0.73,2.8,94.82,-10.69,35.09,51.44,-178,87.0,55.0,53.89,28.44
51,4923,力士,半導體業,63.3,-4.81,39.98,81.38,17.68,32.52,27.38,571,74.7,66.5,45.22,34.9
52,6241,鑫永洋,通信網路業,15.75,2.94,34.67,30.65,-25.94,-1.18,-7.79,420,20.05,15.3,11.69,12.06
53,6101,寬魚國際,文化創意業,41.0,0.24,0.41,6.68,-68.03,-65.59,81.93,-178,54.4,40.9,40.83,38.43
54,3663,鑫科,其他電子類,78.5,-0.88,2.29,28.05,28.28,22.76,47.95,-495,108.9,79.2,76.75,61.31
55,5475,德宏,電子零組件業,192.5,-9.84,-34.17,32.64,13.85,214.96,111.95,1031,237.0,213.5,292.43,145.13
56,5351,鈺創,半導體業,98.2,9.97,19.59,79.83,14.4,657.48,415.21,3423,101.8,89.3,82.12,54.61
57,3675,德微,半導體業,396.0,-10.0,27.26,106.86,4.83,29.99,14.39,-891,524.0,440.0,311.18,191.43
58,5386,青雲,電腦及週邊設備業,371.5,-9.94,-19.42,83.02,-35.52,442.3,435.77,-83,529.0,412.5,461.05,202.99
59,2392,正崴,電子零組件業,37.05,-1.46,-3.33,-12.63,-2.81,15.7,-8.38,-250,40.25,37.6,38.33,42.4
60,8438,昶昕,綠能環保,93.8,-1.37,3.43,72.81,-0.59,40.99,36.4,1138,121.8,95.1,90.69,54.28
61,1723,中碳,化學生技醫療,84.4,4.52,4.6,9.19,5.92,32.12,2.61,1100,89.65,80.75,80.69,77.3
62,2337,旺宏,電子工業,143.5,3.61,-6.13,83.41,11.2,216.09,118.44,-92078,175.0,138.5,152.88,78.24
63,2330,台積電,電子工業,2415.0,-2.03,5.46,42.76,1.52,30.09,28.49,-62340,2580.0,2465.0,2289.95,1691.63
64,1711,永光,化學生技醫療,42.8,-0.93,-13.07,48.7,-3.95,15.49,3.96,545,48.1,43.2,49.23,28.78
65,1590,亞德客-KY,電機機械,1280.0,-4.83,-7.1,23.33,0.08,44.88,28.58,1484,1590.0,1345.0,1377.83,1037.9
66,1568,倉佑,汽車工業,32.9,-2.52,-4.65,30.2,8.62,18.2,6.72,-734,46.75,33.75,34.5,25.27
67,2426,鼎元,電子工業,72.0,-2.04,3.46,122.67,6.76,19.41,-2.81,2624,90.0,73.5,69.59,32.33
68,2345,智邦,電子工業,2470.0,2.28,2.18,69.56,38.19,61.16,61.24,159,3135.0,2415.0,2417.25,1456.75
69,2440,太空梭,電子零組件業,16.65,1.83,-3.46,14.78,2.03,55.96,16.07,-1098,17.35,16.35,17.25,14.51
70,1709,和益,化學生技醫療,24.4,1.88,21.48,37.37,14.17,70.14,4.14,3362,26.05,23.95,20.09,17.76
71,2618,長榮航,航運業,39.6,-0.63,10.45,12.01,5.12,26.58,14.0,319163,47.55,39.85,35.85,35.36
72,4764,雙鍵,化學生技醫療,336.0,6.33,15.91,150.31,-8.87,22.36,20.07,1694,371.5,316.0,289.87,134.23
73,2408,南亞科,電子工業,435.5,9.97,30.18,120.8,6.21,621.34,621.17,73613,570.17,396.0,334.54,197.23
74,4989,榮科,電子零組件業,91.8,-6.71,-4.44,60.44,14.48,73.41,65.46,6322,141.3,98.4,96.07,57.22
75,4739,康普,化學工業,99.0,-10.0,-4.64,29.7,-17.75,113.79,117.51,-8900,137.87,110.0,103.82,76.33
76,5871,中租-KY,其他,114.5,-0.87,-0.17,3.94,5.29,1.3,-2.33,-22752,120.5,115.5,114.7,110.16
77,4967,十銓,電子工業,233.0,0.0,-13.75,32.89,18.09,35.0,87.47,-5170,281.0,233.0,270.13,175.33
78,3624,光頡,電子零組件業,144.0,2.86,45.09,140.57,10.92,28.72,22.21,-3474,209.26,140.0,99.25,59.86
79,6584,南俊國際,電子零組件業,663.0,-2.07,-2.34,62.03,1.48,40.64,54.41,204,829.0,677.0,678.92,409.19
80,4741,泓瀚,化學工業,51.8,-0.38,-14.69,57.26,3.17,32.28,15.09,-1705,68.88,52.0,60.72,32.94
81,4721,美琪瑪,化學工業,83.3,-4.03,-8.38,8.07,-17.2,-19.35,5.5,-354,108.3,86.8,90.92,77.08
82,3577,泓格,電腦及週邊設備業,125.5,3.72,8.17,52.41,24.88,85.37,37.46,-896,152.5,121.0,116.02,82.34
83,3260,威剛,半導體業,410.0,1.49,-1.98,56.46,13.28,212.06,174.06,-6897,431.0,404.0,418.29,262.05
84,3430,奇鈦科,化學工業,128.0,0.08,-8.31,56.35,-12.22,6.25,22.53,-376,153.58,127.9,139.6,81.87
85,6651,全宇昕,半導體業,153.0,-4.08,16.8,69.42,-1.5,19.46,4.11,176,191.0,159.5,130.99,90.31
86,2539,櫻花建,建材營造,39.3,0.38,-0.46,-16.02,-64.24,79.55,43.81,1470,43.3,39.15,39.48,46.8
87,3135,凌航,電子工業,172.0,0.29,-7.88,74.14,-52.2,234.47,254.61,-2358,176.5,171.5,186.72,98.77
