編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
42,8021,尖點,電子工業,518.0,2.37,31.0,161.5,10.97,63.18,52.12,1324,622.0,506.0,395.43,198.09
43,8043,蜜望實,電子零組件業,211.0,4.2,93.71,212.42,-47.92,26.8,62.47,6924,238.5,202.5,108.92,67.54
44,8048,德勝,通信網路業,65.4,-2.97,6.56,24.95,15.46,32.83,9.32,365,71.1,67.4,61.38,52.34
45,3441,聯一光,光電業,81.0,9.91,92.86,129.66,14.76,44.9,29.1,2201,88.61,73.7,42.0,35.27
46,3546,宇峻,文化創意業,86.6,6.13,16.2,9.58,-16.84,32.29,51.06,1610,96.4,81.6,74.53,79.03
47,3213,茂訊,電腦及週邊設備業,135.0,-2.17,19.26,25.32,11.23,23.88,5.06,3460,164.0,138.0,113.2,107.72
48,3147,大綜,資訊服務業,350.0,5.74,79.76,94.03,-47.54,-43.24,7.65,2905,490.0,331.0,194.7,180.39
49,3162,精確,電機機械,83.6,-1.07,9.53,39.35,-11.43,-0.45,5.64,-433,82.7,84.5,76.33,59.99
50,7749,意騰-KY,半導體業,486.5,-2.41,7.81,-0.62,0.0,0.0,0.0,596,477.0,498.5,451.26,489.52
51,3290,東浦,電子零組件業,66.0,5.6,36.49,50.61,2.61,69.35,63.95,1928,74.55,62.5,48.36,43.82
52,3322,建舜電,電子零組件業,14.5,-6.45,7.03,3.42,1.79,31.77,10.16,1324,17.25,15.5,13.55,14.02
53,2243,宏旭-KY,汽車工業,44.95,9.9,81.27,198.09,-38.19,15.41,33.16,4797,51.6,40.9,24.8,15.08
54,3152,璟德,通信網路業,214.5,-3.6,25.09,53.56,5.01,1.65,-9.02,5286,260.5,222.5,171.47,139.68
55,1210,大成,食品工業,55.6,-0.36,3.57,3.51,-1.21,4.32,4.2,7362,58.2,55.8,53.68,53.71
56,2425,承啟,電腦及週邊設備業,39.5,3.0,23.81,25.26,10.1,87.78,64.59,2085,40.35,38.35,31.9,31.53
57,2351,順德,電子工業,176.0,-4.35,11.81,76.62,11.12,25.23,11.52,4072,232.0,184.0,157.41,99.65
58,2501,國建,建材營造,25.75,-4.63,9.15,15.5,-75.19,13.23,37.5,17706,30.95,27.0,23.59,22.29
59,2493,揚博,電子零組件業,250.0,9.89,78.87,115.59,-1.92,-3.11,2.45,5935,276.5,227.5,139.77,115.96
60,2484,希華,電子工業,70.4,-3.96,63.13,153.41,16.51,0.03,-3.9,5552,84.1,73.3,43.16,27.78
61,2497,怡利電,汽車工業,62.4,0.16,11.21,29.81,25.95,25.92,3.16,1496,70.8,62.3,56.11,48.07
62,2491,吉祥全,電子工業,35.8,4.07,74.97,121.59,15.0,0.73,-7.53,1331,49.6,34.4,20.46,16.16
63,2641,正德,航運業,18.8,-0.53,3.96,-4.54,-3.89,6.84,20.78,-2447,21.75,18.9,18.08,19.69
64,2478,大毅,電子零組件業,207.0,9.81,116.43,218.17,-3.39,11.58,8.51,2414,216.5,188.5,95.64,65.06
65,2413,環科,電子零組件業,59.5,-4.8,17.72,73.36,-2.04,16.44,5.26,6912,70.9,62.5,50.54,34.32
66,1618,合機,電器電纜,42.05,-0.94,5.06,-4.07,-47.96,-76.96,-37.95,2717,45.9,42.45,40.02,43.83
67,2375,凱美,電子零組件業,181.5,-4.22,67.99,111.68,7.03,-0.29,8.19,1661,242.6,189.5,108.04,85.74
68,6409,旭隼,其他電子業,903.0,-3.63,17.65,-7.62,24.85,-12.87,-12.22,2619,1183.0,937.0,767.5,977.49
69,6532,瑞耘,半導體業,88.7,-1.11,0.0,35.44,15.42,25.51,-9.22,-147,81.55,89.7,88.7,65.49
70,5328,華容,電子零組件業,51.2,9.99,68.38,135.28,7.83,13.38,10.81,7331,52.8,46.55,30.41,21.76
71,5410,國眾,資訊服務業,46.2,-3.75,30.33,43.59,-22.98,122.27,35.16,3067,52.5,48.0,35.45,32.17
72,6187,萬潤,半導體業,1140.0,0.88,4.57,101.13,15.5,26.14,0.93,-3854,1170.0,1130.0,1090.18,566.78
73,6550,北極星藥業-KY,化學生技醫療,13.2,0.0,-21.95,-55.6,5.7,-57.12,126.78,2564,10.15,13.2,16.91,29.73
74,6116,彩晶,電子工業,16.6,0.61,48.3,91.5,-6.17,2.84,2.13,57766,26.65,16.5,11.19,8.67
75,6244,茂迪,光電業,29.1,-8.78,1.87,30.76,9.74,19.34,-1.26,7972,32.8,31.9,28.57,22.26
76,1785,光洋科,其他電子類,142.5,-2.06,4.24,80.09,-6.05,49.08,63.26,-33052,150.0,145.5,136.7,79.13
77,6174,安碁,電子零組件業,54.9,-0.72,54.42,120.47,13.46,35.12,19.65,1722,53.85,55.3,35.55,24.9
78,2355,敬鵬,電子零組件業,57.1,-5.31,4.87,43.97,-1.34,-3.09,3.74,-34713,78.8,60.3,54.45,39.66
79,2597,潤弘,建材營造,187.5,-1.57,15.82,15.97,18.23,16.53,23.09,9669,217.5,190.5,161.89,161.68
80,3704,合勤控,電子工業,46.7,-2.1,20.78,36.92,3.9,43.39,-8.69,9685,57.4,47.7,38.67,34.11
81,6155,鈞寶,電子零組件業,87.6,-2.88,57.91,123.03,3.68,15.38,10.29,100,109.3,90.2,55.48,39.28
82,5381,光譜,電子零組件業,28.15,-0.88,6.94,0.24,99.04,11.32,-12.73,-1649,36.5,28.4,26.32,28.08
83,5464,霖宏,電子零組件業,70.0,-2.1,44.95,124.84,2.82,42.5,22.25,-1185,113.6,71.5,48.29,31.13
