編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
47,6166,凌華,電腦及週邊設備業,120.5,-2.43,-10.58,44.0,-5.42,38.15,29.8,-4776,162.5,123.5,134.76,83.68
48,6139,亞翔,其他電子業,766.0,0.0,-6.03,27.6,28.8,62.28,77.65,-8417,805.0,766.0,815.18,600.29
49,6213,聯茂,電子零組件業,510.0,5.37,51.66,164.95,12.71,96.88,34.21,21942,650.5,484.0,336.29,192.49
50,5864,致和證,金融業,34.0,3.98,-8.81,49.53,-465.89,-692.58,5018.34,-3511,35.6,32.7,37.28,22.74
51,6005,群益證,金融保險,30.35,0.5,-5.48,19.1,-43.88,25.09,102.21,-45881,31.44,30.2,32.11,25.48
52,6548,長科*,半導體業,70.6,-0.7,-10.7,33.11,3.61,35.44,24.37,5777,77.2,71.1,79.06,53.04
53,6190,萬泰科,通信網路業,65.2,0.31,-12.59,16.49,7.96,45.04,23.39,1314,63.2,65.0,74.59,55.97
54,6197,佳必琪,電子零組件業,300.5,-0.17,-6.31,48.66,-6.73,15.29,22.43,-434,304.0,301.0,320.74,202.14
55,6531,愛普*,電子工業,882.0,5.38,-3.78,47.8,36.08,144.57,99.13,923,1083.0,837.0,916.69,596.77
56,6829,千附精密,半導體業,214.0,0.23,2.78,41.84,-7.18,22.98,33.33,835,292.5,213.5,208.21,150.87
57,6187,萬潤,半導體業,1265.0,-3.07,18.07,82.75,4.17,73.44,29.5,5214,1619.82,1305.0,1071.43,692.22
58,8271,宇瞻,電子工業,233.0,6.15,11.28,59.55,-4.2,164.99,215.65,2284,281.0,219.5,209.38,146.04
59,8096,擎亞,電子通路業,108.0,0.0,-20.82,31.42,15.92,523.78,58.31,-3386,135.0,108.0,136.39,82.18
60,8358,金居,電子零組件業,413.5,0.73,-16.03,25.88,4.82,54.87,41.83,-46312,490.0,410.5,492.45,328.48
61,8155,博智,電子零組件業,324.5,4.34,-4.54,30.14,3.41,52.01,36.92,-680,333.0,311.0,339.93,249.35
62,2451,創見,電子工業,284.5,1.25,1.54,31.7,2.5,307.66,385.54,63,364.0,281.0,280.19,216.03
63,8415,大國鋼,鋼鐵工業,38.35,0.92,7.87,15.21,1.3,36.76,19.71,2865,40.3,38.0,35.55,33.29
64,8996,高力,電機機械,1135.0,0.0,-4.85,38.04,27.31,57.63,121.11,-1966,1555.0,1135.0,1192.87,822.2
65,8112,至上,電子工業,93.7,2.97,6.01,28.66,24.74,333.48,158.74,38912,103.3,91.0,88.39,72.83
66,2356,英業達,電腦及週邊設備業,64.5,-1.07,-1.05,31.98,-11.8,65.73,32.83,70806,75.3,65.2,65.18,48.87
67,8299,群聯,半導體業,1995.0,1.53,-7.41,22.88,9.29,377.55,245.1,-6873,2335.0,1965.0,2154.75,1623.53
68,2330,台積電,電子工業,2375.0,1.06,-0.18,28.67,5.62,44.69,35.07,-17313,2450.0,2350.0,2379.21,1845.8
69,2351,順德,電子工業,183.5,-0.81,-0.39,53.23,9.42,60.84,24.61,634,182.06,185.0,184.21,119.76
70,2368,金像電,電子零組件業,1025.0,-1.44,-8.14,22.33,21.31,77.38,67.84,-12437,1129.0,1040.0,1115.87,837.88
71,8150,南茂,電子工業,87.9,0.69,-9.43,40.73,11.21,43.6,28.85,-49423,93.0,87.3,97.05,62.46
72,2360,致茂,電子工業,2140.0,0.94,-0.38,53.81,32.09,175.26,96.03,-2114,2520.0,2120.0,2148.26,1391.31
73,2414,精技,電子通路業,52.3,0.77,-5.82,17.52,-36.66,25.35,38.99,-687,57.63,51.9,55.53,44.5
74,2308,台達電,電子零組件業,1745.0,-1.13,-10.51,22.86,2.24,47.75,41.66,-19780,1985.0,1765.0,1949.93,1420.33
75,2236,百達-KY,汽車工業,123.0,-2.38,-14.72,3.75,33.45,64.74,28.59,-2171,106.0,126.0,144.22,118.56
76,2428,興勤,電子零組件業,267.0,4.09,-2.58,32.85,0.57,48.36,20.41,-2637,269.0,256.5,274.08,200.98
77,2383,台光電,電子零組件業,5985.0,1.79,14.74,102.11,8.31,129.4,83.57,374,7575.0,5880.0,5216.25,2961.3
78,2425,承啟,電腦及週邊設備業,38.6,-1.03,-6.61,17.18,-20.71,143.6,107.8,-5729,64.55,39.0,41.33,32.94
79,2376,技嘉,電腦及週邊設備業,344.0,-1.29,2.13,25.78,3.08,59.67,51.8,16674,453.14,348.5,336.81,273.49
80,2455,全新,電子工業,412.0,3.91,15.19,70.4,29.48,45.12,30.21,-5265,446.0,396.5,357.67,241.78
81,2421,建準,電子零組件業,144.0,-0.69,0.53,0.95,14.25,31.65,21.47,10014,176.0,145.0,143.24,142.64
82,2317,鴻海,電子工業,246.5,0.61,-2.68,8.6,15.18,54.19,37.04,31514,286.0,245.0,253.28,226.98
83,2357,華碩,電腦及週邊設備業,913.0,-1.3,19.29,48.2,-21.17,53.33,41.55,22244,1221.0,925.0,765.37,616.05
84,2327,國巨*,電子零組件業,562.0,-2.43,-27.94,44.4,5.03,51.51,32.2,-77426,602.0,576.0,779.91,389.18
85,6933,AMAX-KY,電子工業,193.0,1.31,19.35,20.11,1.63,197.35,32.08,487,212.0,190.5,161.7,160.68
86,1815,富喬,電子零組件業,107.0,9.18,15.92,18.49,24.01,68.11,41.81,50957,109.1,98.0,92.31,90.31
87,2059,川湖,電子零組件業,13925.0,-1.21,68.34,190.99,44.22,355.52,127.87,548,17265.0,14095.0,8272.0,4785.44
88,1773,勝一,化學工業,156.0,1.63,-7.12,3.23,6.89,33.55,18.43,-2754,152.0,153.5,167.97,151.11
89,5386,青雲,電腦及週邊設備業,230.5,0.0,-20.21,44.2,27.11,716.24,457.05,-1686,291.5,230.5,288.9,159.85
90,2103,台橡,橡膠工業,27.85,2.2,21.74,51.38,-6.94,32.52,12.72,15137,30.4,27.25,22.88,18.4
91,6175,立敦,電子零組件業,74.7,-1.32,-19.55,23.08,-2.28,40.64,18.61,1564,74.21,75.7,92.85,60.69
92,6414,樺漢,電腦及週邊設備業,402.5,-1.47,-0.08,27.78,-7.14,55.07,23.32,-1534,553.0,408.5,402.83,315.0
93,6285,啟碁,電子工業,237.0,0.64,-7.4,33.21,6.57,89.82,27.58,-543,240.5,235.5,255.94,177.92
94,2851,中再保,金融保險,44.2,9.95,22.08,56.04,-41.98,-49.78,19.21,6507,42.25,40.2,36.2,28.33
95,6217,中探針,電子零組件業,153.5,0.33,-27.59,14.39,-1.73,27.8,33.64,-332,185.0,153.0,211.99,134.19
96,6274,台燿,電子零組件業,1575.0,5.0,4.22,95.63,20.69,121.52,87.18,-6521,2100.0,1500.0,1511.17,805.08
97,6223,旺矽,半導體業,5650.0,7.52,-7.67,54.04,-1.5,66.5,49.67,-1115,7175.0,5255.0,6119.36,3667.97
98,3003,健和興,電子零組件業,64.0,-0.78,1.71,20.34,9.76,92.99,35.27,3212,75.49,64.5,62.92,53.18
99,2880,華南金,金融保險,38.8,-0.51,3.93,20.71,3.45,4.11,20.45,16656,46.65,39.0,37.33,32.14
100,2885,元大金,金融保險,62.1,-0.64,0.05,39.2,-10.3,62.33,75.6,-9882,73.37,62.5,62.07,44.61
101,2486,一詮,電子工業,251.0,6.81,4.39,60.09,5.53,42.52,25.5,2592,232.0,235.0,240.45,156.79
102,2472,立隆電,電子零組件業,223.5,-3.04,-29.14,30.7,4.03,36.23,19.5,-763,228.04,230.5,315.42,171.01
103,2476,鉅祥,電子零組件業,119.5,0.42,-0.81,18.28,6.06,54.4,37.92,151,129.42,119.0,120.47,101.03
104,2886,兆豐金,金融保險,46.4,-1.38,3.25,15.04,6.77,1.77,13.34,94781,57.36,47.05,44.94,40.33
105,5434,崇越,電子工業,526.0,-0.75,4.85,42.32,8.88,42.61,22.96,-243,503.28,530.0,501.67,369.58
106,2884,玉山金,金融保險,37.35,-1.19,7.24,16.4,-6.43,4.75,20.81,32195,42.55,37.8,34.83,32.09
107,2493,揚博,電子零組件業,183.0,0.0,-18.32,31.0,-2.08,25.93,11.84,-4878,218.5,183.0,224.03,139.69
108,2467,志聖,電子零組件業,560.0,2.38,-0.49,51.83,34.33,132.73,81.52,1240,555.0,547.0,562.77,368.84
109,2838,聯邦銀,金融保險,20.15,0.5,-1.64,8.99,-27.13,-22.04,17.25,-6907,20.7,20.05,20.49,18.49
110,2610,華航,航運業,20.0,0.5,-3.69,2.26,2.18,25.34,15.38,-3063,24.25,19.9,20.77,19.56
111,3147,大綜,資訊服務業,224.0,1.13,-11.49,15.37,-10.77,117.44,87.16,-8,239.0,221.5,253.09,194.15
112,2618,長榮航,航運業,42.25,1.56,4.78,17.42,-4.34,21.42,14.92,229088,47.6,41.6,40.32,35.98
113,3357,臺慶科,電子零組件業,214.0,-2.06,-16.56,18.4,14.57,63.31,28.88,-2974,250.0,218.5,256.47,180.74
114,3135,凌航,電子工業,168.0,9.8,-7.07,46.97,22.17,204.32,231.62,-467,191.5,153.0,180.78,114.31
115,3312,弘憶股,電子通路業,51.4,0.19,-5.97,18.07,21.54,40.7,16.73,-1511,62.95,51.3,54.67,43.53
116,3260,威剛,半導體業,401.0,1.52,-1.02,33.64,25.36,331.29,196.52,5875,465.5,395.0,405.12,300.07
117,3324,雙鴻,其他電子類,993.0,0.4,-0.18,3.25,38.54,116.7,85.85,3732,1117.0,989.0,994.79,961.7
118,3213,茂訊,電腦及週邊設備業,131.0,-1.13,3.16,22.6,9.17,70.37,20.47,1133,154.5,132.5,126.99,106.85
119,3293,鈊象,文化創意業,758.0,1.2,2.05,5.57,2.88,25.86,16.78,7963,912.0,749.0,742.78,718.04
120,3303,岱稜,其他電子類,53.6,1.52,0.29,14.5,-7.48,31.25,16.18,769,55.8,52.8,53.44,46.81
121,3004,豐達科,鋼鐵工業,121.5,0.0,-9.19,2.6,-0.65,53.03,34.99,-396,118.5,121.5,133.79,118.42
122,3229,晟鈦,電子零組件業,56.9,9.85,27.72,103.71,5.29,76.77,59.77,1179,68.1,51.8,44.55,27.93
123,3189,景碩,電子工業,851.0,0.24,12.3,128.24,7.69,35.85,30.07,530,1013.0,849.0,757.77,372.86
124,3605,宏致,電子零組件業,110.0,-7.56,25.57,52.63,3.28,29.81,14.98,17507,173.29,119.0,87.6,72.07
125,3653,健策,電子零組件業,5600.0,2.56,48.6,75.68,21.26,90.96,33.13,2197,6280.0,5460.0,3768.56,3187.57
126,3675,德微,半導體業,269.0,-2.71,-16.67,28.7,3.97,29.78,16.41,-1444,295.0,276.5,322.82,209.02
127,3680,家登,半導體業,468.0,1.52,-4.19,13.47,15.81,71.69,31.33,255,467.0,461.0,488.44,412.46
128,2027,大成鋼,鋼鐵工業,50.5,1.0,19.4,33.82,5.97,46.12,31.59,78630,52.55,50.0,42.29,37.74
